param_n_estimators,param_learning_rate,param_max_depth,param_subsample,mean_test_score,std_test_score,rank_test_score,precision,recall,f1_score,accuracy,is_best_model
100,0.01,3,0.8,0.7684762041378245,0.0038965101579771524,15,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
100,0.01,3,1.0,0.7681295019956196,0.0037781242127757158,16,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
200,0.01,3,0.8,0.7882174502817397,0.002903676816658091,13,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
200,0.01,3,1.0,0.788154251542983,0.002816522845759348,14,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
100,0.01,5,0.8,0.7957288575001018,0.0007969762353360626,11,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
100,0.01,5,1.0,0.7954057102786019,0.0009157887754172186,12,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
200,0.01,5,0.8,0.8072604903095643,0.00136509485408135,9,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
200,0.01,5,1.0,0.8060677071761189,0.001626098650739609,10,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
100,0.1,3,0.8,0.8362578281017174,0.0021116095815068947,7,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
100,0.1,3,1.0,0.8347936219862838,0.001943253393558034,8,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
200,0.1,3,0.8,0.8531137641428115,0.0020007481235237243,5,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
200,0.1,3,1.0,0.8520755832984035,0.0025963055915845363,6,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
100,0.1,5,0.8,0.8555754840548542,0.0022676166551667373,3,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
100,0.1,5,1.0,0.8543472818125746,0.002599661671167514,4,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
200,0.1,5,0.8,0.8668150280677585,0.002480112423540389,1,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,True
200,0.1,5,1.0,0.8666135544026817,0.002121369852337106,2,0.9518741575378653,0.9317928778198387,0.9390416610725016,0.9317928778198387,False
